SUBJECT	IEDB alternative term:	definition:	CLASS_TYPE	:>> %	:>> 'has part' some %	:>> has_specified_input some %	:>> (has_specified_input some %) and (realizes some ('reagent role' and ('inheres in' some %)))	:>> has_specified_input some (% and ('has part' some 'MH:>> protein complex'))	:>> has_specified_output some ('information content entity' and ('is about' some %))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'immunoglobulin binding to epitope'))))	:>> has_specified_output some ('information content entity' and ('is about' some (% and ('process is result of' some 'MHC:epitope complex binding to TCR'))))	:>> has_specified_output some %	:>> has_specified_output some ('has measurement unit label' value %)	term editor:	definition source:
detection of specific nucleic acids with complementary probes assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	CCL2/MCP-1 release|RNA/DNA detection	An assay of epitope specific monocyte chemotactic protein-1 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific monocyte chemotactic protein-1 production by T cells	CCL2/MCP-1 release|ELISA	An assay of epitope specific monocyte chemotactic protein-1 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	CCL4/MIP-1b release|biological activity	A T cell epitope specific cytokine production assay that detects chemokine (C-C motif) ligand 4 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 4 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-21 production by T cells	IL-21 release|ELISA	An assay of epitope specific interleukin-21 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-21 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
in vivo skin test assay measuring T cell epitope specific type IV hypersensitivity	type IV hypersensitivity (DTH)|in vivo skin test	An efficacy of T cell epitope intervention experiment that detects epitope specific type IV hypersensitivity.	equivalent to	biological activity assay measuring T cell epitope specific in vivo activity							type IV hypersensitivity			PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-13 production by T cells	IL-13 release|cytometric bead array	An assay of epitope specific interleukin-13 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-13 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interferon-gamma production by T cells	IFNg release|RNA/DNA detection	An assay of epitope specific interferon-gamma production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interferon-gamma production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific tumor necrosis factor production by T cells	TNFa release|cytometric bead array	A T cell epitope specific tumor necrosis factor production assay that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific tumor necrosis factor production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISPOT assay measuring epitope specific interleukin-17 production by T cells	IL-17 release|ELISPOT	An assay of epitope specific interleukin-17 production by T cells that uses an ELISPOT assay.	equivalent to	biological activity assay measuring epitope specific interleukin-17 production by T cells	enzyme-linked immunospot assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interferon-beta production by T cells	IFNb release|RNA/DNA detection	An assay of epitope specific interferon-beta production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interferon-beta production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells	GM-CSF release|RNA/DNA detection	An assay of epitope specific granulocyte macrophage colony stimulating factor production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific interleukin-8 production by T cells	IL-8 release|ELISA	An assay of epitope specific interleukin-8 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific interleukin-8 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interleukin-6 production by T cells	IL-6 release|cytometric bead array	An assay of epitope specific interleukin-6 production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interleukin-6 production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
biological activity assay measuring epitope specific interleukin-23 production by T cells	IL-23 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-23 production by T cells.	equivalent to	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-23 production					PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-10 production by T cells	IL-10 release|RNA/DNA detection	An assay of epitope specific interleukin-10 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent to	biological activity assay measuring epitope specific interleukin-10 production by T cells	detection of specific nucleic acid polymers with complementary probes									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	TNF release|cytometric bead array	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	CCL4/MIP-1b release|ICS	An assay of epitope specific chemokine (C-C motif) ligand 4 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
intracellular cytokine staining assay measuring epitope specific interleukin-3 production by T cells	IL-3 release|ICS	An assay of epitope specific interleukin-3 production by T cells that uses an intracellular cytokine staining assay.	equivalent to	biological activity assay measuring epitope specific interleukin-3 production by T cells	flow cytometry assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
ELISA measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	CCL4/MIP-1b release|ELISA	An assay of epitope specific chemokine (C-C motif) ligand 4 production by T cells that uses an ELISA.	equivalent to	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	enzyme-linked immunosorbent assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
cytometric bead array assay measuring epitope specific interferon-gamma production by T cells	IFNg release|cytometric bead array	An assay of epitope specific interferon-gamma production by T cells that uses a cytometric bead array assay.	equivalent to	biological activity assay measuring epitope specific interferon-gamma production by T cells	cytometric bead array assay									PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB
